Division ID,Division,State,Ordinary Yes Votes,Ordinary Yes % of Formal,Ordinary No Votes,Ordinary No % of Formal,Ordinary Informal Votes,Ordinary Informal % of Total,Absent Yes Votes,Absent Yes % of Formal,Absent No Votes,Absent No % of Formal,Absent Informal Votes,Absent Informal % of Total,Provisional Yes Votes,Provisional Yes % of Formal,Provisional No Votes,Provisional No % of Formal,Provisional Informal Votes,Provisional Informal % of Total,Pre-Poll Yes Votes,Pre-Poll Yes % of Formal,Pre-Poll No Votes,Pre-Poll No % of Formal,Pre-Poll Informal Votes,Pre-Poll Informal % of Total,Postal Yes Votes,Postal Yes % of Formal,Postal No Votes,Postal No % of Formal,Postal Informal Votes,Postal Informal % of Total
226,McEwen,VIC,31474,40.7,45865,59.3,753,0.96,3604,48.91,3765,51.09,58,0.78,275,43.1,363,56.9,6,0.93,2168,43.55,2810,56.45,35,0.7,4747,30.46,10836,69.54,89,0.57
315,McMahon,NSW,26638,34.41,50784,65.59,1555,1.97,2043,38.53,3259,61.47,81,1.5,375,37.13,635,62.87,21,2.04,1250,38.97,1958,61.03,32,0.99,2723,27.55,7160,72.45,39,0.39
171,McPherson,QLD,28284,35.19,52096,64.81,1047,1.29,1435,41.24,2045,58.76,30,0.85,277,41.04,398,58.96,10,1.46,2411,43.11,3182,56.89,41,0.73,3394,28.48,8525,71.52,137,1.14
228,Melbourne,VIC,52933,78.89,14162,21.11,504,0.75,7546,78.25,2097,21.75,66,0.68,651,77.96,184,22.04,9,1.07,7887,76.58,2412,23.42,63,0.61,8724,68.06,4094,31.94,56,0.43
229,Menzies,VIC,35483,45.63,42284,54.37,797,1.01,2937,55.95,2312,44.05,59,1.11,228,47.5,252,52.5,8,1.64,2160,47.93,2347,52.07,31,0.68,6012,38.27,9696,61.73,107,0.68
134,Mitchell,NSW,38465,41.36,54541,58.64,817,0.87,2881,47.37,3201,52.63,61,0.99,355,46.53,408,53.47,8,1.04,1722,44.84,2118,55.16,20,0.52,4494,31.82,9629,68.18,77,0.54
323,Monash,VIC,29237,33.93,56934,66.07,866,0.99,1563,45.5,1872,54.5,30,0.87,176,38.01,287,61.99,6,1.28,1999,39.23,3097,60.77,54,1.05,2909,31.13,6435,68.87,60,0.64
172,Moncrieff,QLD,23891,31.1,52919,68.9,887,1.14,2004,39.46,3074,60.54,45,0.88,345,38.46,552,61.54,14,1.54,1797,37.11,3046,62.89,32,0.66,4001,24.43,12376,75.57,161,0.97
242,Moore,WA,33203,38.37,53327,61.63,736,0.84,2361,45.95,2777,54.05,49,0.94,287,40.88,415,59.12,5,0.71,2382,35.41,4345,64.59,33,0.49,3230,29.97,7549,70.03,57,0.53
173,Moreton,QLD,35590,50.19,35315,49.81,732,1.02,3418,56.62,2619,43.38,35,0.58,505,55.43,406,44.57,5,0.55,1863,53.4,1626,46.6,19,0.54,5585,40.23,8297,59.77,180,1.28
135,New England,NSW,22517,24.56,69167,75.44,837,0.9,873,32.14,1843,67.86,20,0.73,138,27.94,356,72.06,5,1,1152,30.79,2590,69.21,10,0.27,1478,20.06,5890,79.94,39,0.53
136,Newcastle,NSW,50627,54.31,42586,45.69,1058,1.12,2572,56.28,1998,43.72,56,1.21,405,57.45,300,42.55,6,0.84,2525,55.09,2058,44.91,23,0.5,4075,43.38,5318,56.62,56,0.59
324,Nicholls,VIC,21466,24.14,67474,75.86,819,0.91,1148,41.91,1591,58.09,25,0.9,109,31.23,240,68.77,8,2.24,1322,31.36,2894,68.64,34,0.8,1761,22.02,6238,77.98,34,0.42
137,North Sydney,NSW,48651,60.35,31969,39.65,732,0.9,3121,64.76,1698,35.24,42,0.86,408,59.13,282,40.87,9,1.29,3464,65.53,1822,34.47,19,0.36,6048,52.45,5483,47.55,49,0.42
243,O'Connor,WA,20899,24.31,65065,75.69,654,0.76,1510,33.16,3043,66.84,38,0.83,240,27.78,624,72.22,11,1.26,1475,28.56,3689,71.44,28,0.54,1813,19.29,7584,80.71,54,0.57
174,Oxley,QLD,32085,40.76,46634,59.24,855,1.07,2495,47.1,2802,52.9,49,0.92,545,48.53,578,51.47,9,0.8,1635,41.25,2329,58.75,27,0.68,4256,33.22,8556,66.78,106,0.82
138,Page,NSW,31795,32.64,65603,67.36,1131,1.15,1332,46.46,1535,53.54,29,1,251,39.47,385,60.53,10,1.55,1622,41.7,2268,58.3,22,0.56,2443,28.45,6145,71.55,38,0.44
139,Parkes,NSW,17547,21.13,65491,78.87,913,1.09,794,30.39,1819,69.61,21,0.8,232,32.18,489,67.82,7,0.96,1010,24.72,3076,75.28,18,0.44,1276,15.71,6848,84.29,35,0.43
140,Parramatta,NSW,32921,46.18,38369,53.82,1044,1.44,3083,48.67,3252,51.33,65,1.02,582,48.5,618,51.5,16,1.32,1719,48.3,1840,51.7,17,0.48,4429,37.45,7397,62.55,70,0.59
249,Paterson,NSW,31679,29.77,74733,70.23,1206,1.12,1679,38.93,2634,61.07,43,0.99,223,32.99,453,67.01,3,0.44,1200,32.22,2524,67.78,19,0.51,2462,27.33,6547,72.67,62,0.68
